circuit,image_rows,image_cols,barcode_rows,barcode_cols,max_rows,max_cols,max_ec_level,chunk_size,prover_time_1,prover_time_2,prover_time_3,prover_time_4,prover_time_5,prover_ram_1,prover_ram_2,prover_ram_3,prover_ram_4,prover_ram_5,verifier_time_1,verifier_time_2,verifier_time_3,verifier_time_4,verifier_time_5,verifier_ram_1,verifier_ram_2,verifier_ram_3,verifier_ram_4,verifier_ram_5
binarize,480,640,462,580,90,30,0,10,5196.75,5154.17,5195.63,5315.9,5330.56,4386248,4395296,4395256,4336476,4382152,484.03,453.18,475.06,517.86,456.41,443896,442772,443388,441744,441664
binarize,480,640,462,580,90,30,1,10,5165.37,5287.85,5245.36,5308.08,5700.21,4389944,4402916,4408368,4395084,4344748,444.94,453.57,479.5,437.87,442.18,442284,442940,442356,442936,443300
binarize,480,640,462,580,90,30,5,10,5047.6,5034.76,5069.28,5168.03,5065.14,4354592,4233632,4358148,4349312,4354984,458.37,440.73,442.69,444.56,444.51,442788,442364,441744,441752,442232
binarize,480,640,468,618,3,2,0,6,5538.49,5522.98,5420.02,5453.19,5308.45,4574224,4622060,4491080,4629544,4500584,469.36,528.91,468.01,493.48,459.34,452304,452464,452836,453276,453380
binarize,480,640,468,618,3,2,1,6,5501.23,5282.55,5494.39,6271.95,5459.79,4555576,4492504,4556060,4482164,4447972,456.94,455.88,453.6,455.31,516.46,452828,452888,453312,452340,452808
binarize,480,640,480,513,10,6,0,9,4225.35,4304.87,4264.2,4307.16,4377.04,3486696,3441412,3552224,3371324,3352844,416.33,422.65,401.3,417.47,403.2,416312,416372,416116,416780,416304
binarize,480,640,480,513,10,6,1,9,4236.5,4286.32,4278.42,4238.61,4261.55,3609072,3621220,3563528,3575872,3454852,450.31,455.25,402.57,400.32,398.04,415712,415728,416276,416824,416220
binarize,480,640,462,580,21,13,0,10,4994.36,4944.43,4770.39,4602.64,4858.65,3754916,3808964,3703456,3693848,3755836,440.77,490.41,513.1,442.69,437.13,442764,442768,442392,442296,442696
binarize,480,640,462,580,21,13,1,10,5393.43,4940.35,4844.23,4696.37,4788.76,3575628,3831460,3870316,3574580,3756848,475.47,447.27,440.39,464.81,438.4,443284,442232,442904,442660,442400
binarize,480,640,462,580,21,13,5,10,4591.06,4825.23,4810.4,4846.35,4636.67,3694924,3856480,3757172,3801792,3700716,474.1,443.21,439.88,440.2,434.29,443300,442316,442784,442368,442412
binarize,480,640,462,580,60,20,0,10,4808.44,5106.27,4926.62,5063.01,4601.87,3693752,3698804,3715736,3737820,3709952,439.42,447.67,436.94,439.41,441.66,442936,443324,442836,442844,442772
binarize,480,640,462,580,60,20,1,10,4772.13,4829.87,4813.77,5043.62,4882.2,3690192,3666920,3652980,3706064,3694176,478.91,489.18,435.6,439.84,438.7,442292,443304,442252,443476,442268
binarize,480,640,462,580,60,20,5,10,4682.76,4684.57,4810.94,4699.99,4654.9,3750804,3749784,3773876,3754080,3735648,491.5,456.64,445.7,444.94,450.21,442804,442260,442940,442784,442928
binarize,480,640,462,580,60,20,8,10,4785.19,4948.04,5414.94,4789.29,5315.49,3693600,3704356,3625168,3742080,3893104,462.61,442.8,439.32,445.21,480.22,443372,442348,442200,441852,442776
